Source,Target,Type,Id,Label,Weight
22,1,Directed,274,-P71,1
17,2,Directed,266,-P71,1
30,3,Directed,294,-P41,1
64,4,Directed,349,P87,1
37,5,Directed,302,-P71,1
39,7,Directed,305,P3,1
47,8,Directed,315,P78,1
20,10,Directed,273,-P71,1
19,11,Directed,271,P4,1
19,12,Directed,272,P2,1
55,13,Directed,327,-P71,1
3,14,Directed,251,P4,1
16,15,Directed,265,P2,1
62,16,Directed,332,P1,1
32,17,Directed,297,P91,1
33,19,Directed,299,P35,1
4,20,Directed,255,P2,1
40,21,Directed,306,-P71,1
48,22,Directed,318,P2,1
17,25,Directed,267,P90,1
64,27,Directed,350,P87,1
64,28,Directed,367,P45,1
62,30,Directed,336,-P108,1
62,32,Directed,337,P43,1
62,33,Directed,338,-P34,1
41,36,Directed,307,-P71,1
3,37,Directed,253,P42,1
47,38,Directed,316,P78,1
64,39,Directed,351,P87,1
69,40,Directed,360,P2,1
62,41,Directed,341,P2,1
64,44,Directed,352,P87,1
62,45,Directed,343,P104,1
69,47,Directed,361,P4,1
70,48,Directed,363,P1,1
12,52,Directed,261,-P71,1
3,55,Directed,254,P42,1
32,57,Directed,298,-P71,1
14,58,Directed,262,P78,1
14,59,Directed,263,P78,1
44,60,Directed,310,P89,1
62,64,Directed,346,P53,1
60,65,Directed,329,P87,1
15,67,Directed,264,-P71,1
45,69,Directed,311,-P94,1
62,70,Directed,347,BM.PX.is_related_to,1
28,71,Directed,369,P2,1
71,72,Directed,370,-P71,1
62,84,Directed,456,-P140,1
84,85,Directed,457,-P37,1
3,90,Directed,518,P42,1
90,91,Directed,408,-P71,1
3,92,Directed,411,P42,1
92,93,Directed,412,-P71,1
62,94,Directed,413,P3,1
62,95,Directed,414,P2,1
95,96,Directed,415,-P71,1
84,97,Directed,476,P42,1
97,98,Directed,417,-P71,1
741,457,Directed,460,P2,1
745,458,Directed,461,P2,1
19,459,Directed,462,-P67,1
457,460,Directed,466,-P71,1
458,461,Directed,465,-P71,1
459,462,Directed,463,P2,1
462,463,Directed,464,-P71,1
94,464,Directed,467,P2,1
464,465,Directed,468,-P71,1
85,466,Directed,475,-P71,1
471,468,Directed,479,-P71,1
84,471,Directed,477,P42,1
