Source,Target,Type,Id,Label,timeset,Weight
,,,,,,
101,102,Directed,1001,P87,,1
102,103,Directed,1002,P2,,1
103,104,Directed,1003,-P71,,1
101,105,Directed,1004,P89,,1
105,106,Directed,1005,P2,,1
106,107,Directed,1006,-P71,,1
105,108,Directed,1007,P87,,1
101,109,Directed,1008,P2,,1
109,110,Directed,1009,-P71,,1
101,111,Directed,1010,-Q11,,1
111,112,Directed,1011,-P140,,1
112,115,Directed,1012,O9,,1
115,144,Directed,1013,-P70,,1
112,113,Directed,1014,O16,,1
113,114,Directed,1015,-P71,,1
111,116,Directed,1016,-Q10,,1
116,117,Directed,1017,-P140,,1
117,118,Directed,1018,O9,,1
118,119,Directed,1019,-P70,,1
117,120,Directed,1020,O16,,1
120,121,Directed,1021,-P71,,1
116,122,Directed,1022,Q9,,1
122,123,Directed,1023,-P71,,1
101,124,Directed,1024,P87,,1
124,125,Directed,1025,P2,,1
125,126,Directed,1026,-P70,,1
101,127,Directed,1027,P87,,1
127,128,Directed,1028,P2,,1
128,129,Directed,1029,-P71,,1
101,130,Directed,1030,P48,,1
130,131,Directed,1031,P2,,1
131,132,Directed,1032,-P70,,1
101,133,Directed,1033,P2,,1
133,134,Directed,1034,-P71,,1
150,135,Directed,1035,-P39,,1
135,136,Directed,1036,P40,,1
136,137,Directed,1037,P90,,1
136,138,Directed,1038,P91,,1
138,139,Directed,1039,-P71,,1
136,142,Directed,1040,P2,,1
142,143,Directed,1041,-P71,,1
135,140,Directed,1042,P2,,1
140,141,Directed,1043,-P71,,1
150,101,Directed,1044,P53,,1
,,,,,,1
150,1,Directed,2001,-P8,,1
1,2,Directed,2002,P4,,1
2,3,Directed,2003,P73,,1
1,4,Directed,2004,P2,,1
4,5,Directed,2005,-P71,,1
1,6,Directed,2006,P14,,1
6,7,Directed,2007,P1,,1
6,8,Directed,2008,P2,,1
8,9,Directed,2009,-P71,,1
150,10,Directed,2010,-P34,,1
10,11,Directed,2011,P35,,1
11,12,Directed,2012,-P17,,1
12,13,Directed,2013,P129,,1
13,14,Directed,2014,-P71,,1
12,15,Directed,2015,P2,,1
15,16,Directed,2016,-P71,,1
12,17,Directed,2017,-P141,,1
17,18,Directed,2018,P2,,1
18,19,Directed,2019,-P71,,1
11,20,Directed,2020,P5,,1
20,21,Directed,2021,-P141,,1
21,22,Directed,2022,J2,,1
22,23,Directed,2023,J4,,1
23,24,Directed,2024,-P71,,1
22,25,Directed,2025,J5,,1
25,26,Directed,2026,-P71,,1
21,27,Directed,2027,P14,,1
27,28,Directed,2028,P1,,1
20,29,Directed,2029,-O14,,1
29,30,Directed,2030,P2,,1
30,31,Directed,2031,-P71,,1
29,32,Directed,2032,-P140,,1
32,33,Directed,2033,P141,,1
33,34,Directed,2034,J4,,1
34,35,Directed,2035,-P71,,1
33,36,Directed,2036,J5,,1
36,37,Directed,2037,-P71,,1
32,38,Directed,2038,P14,,1
38,39,Directed,2039,P1,,1
29,40,Directed,2040,P4,,1
40,41,Directed,2041,P82a,,1
40,42,Directed,2042,P82b,,1
40,43,Directed,2043,P81a,,1
40,44,Directed,2044,P81,,1
20,45,Directed,2045,P2,,1
45,46,Directed,2046,-P71,,1
11,47,Directed,2047,-P39,,1
47,48,Directed,2048,P2,,1
48,49,Directed,2049,-P71,,1
11,50,Directed,2050,P2,,1
50,51,Directed,2051,-P71,,1
11,52,Directed,2052,-P141,,1
52,53,Directed,2053,J2,,1
53,54,Directed,2054,J4,,1
54,55,Directed,2055,-P71,,1
53,56,Directed,2056,J4,,1
56,57,Directed,2057,-P71,,1
53,58,Directed,2058,J5,,1
58,59,Directed,2059,-P71,,1
52,60,Directed,2060,P14,,1
60,61,Directed,2061,P1,,1
,,,,,,1
150,201,Directed,3001,-P140,,1
201,202,Directed,3002,P3,,1
201,203,Directed,3003,P2,,1
203,204,Directed,3004,-P71,,1
150,205,Directed,3005,P104,,1
205,206,Directed,3006,-P94,,1
206,207,Directed,3007,P2,,1
207,208,Directed,3008,-P71,,1
206,209,Directed,3009,P4,,1
209,210,Directed,3010,P82b,,1
209,211,Directed,3011,P82a,,1
150,212,Directed,3012,P1,,1
212,213,Directed,3013,P2,,1
213,214,Directed,3014,-P71,,1
150,215,Directed,3015,P48,,1
215,216,Directed,3016,P2,,1
216,217,Directed,3017,-P70,,1
150,218,Directed,3018,P46,,1
218,219,Directed,3019,-P140,,1
219,220,Directed,3020,P141,,1
220,221,Directed,3021,-P71,,1
219,222,Directed,3022,P14,,1
222,223,Directed,3023,P1,,1
219,224,Directed,3024,P141,,1
224,225,Directed,3025,J4,,1
225,226,Directed,3026,-P71,,1
224,227,Directed,3027,J5,,1
227,228,Directed,3028,-P71,,1
219,229,Directed,3029,P2,,1
229,230,Directed,3030,-P71,,1
219,231,Directed,3031,P141,,1
231,232,Directed,3032,-P71,,1
219,233,Directed,3033,P141,,1
233,234,Directed,3034,-P71,,1
218,235,Directed,3035,-P92,,1
235,236,Directed,3036,-P140,,1
236,237,Directed,3037,J1,,1
237,238,Directed,3038,J4,,1
238,241,Directed,3039,-P71,,1
238,239,Directed,3040,P2,,1
239,240,Directed,3041,-P71,,1
237,242,Directed,3042,J5,,1
242,243,Directed,3043,-P71,,1
236,244,Directed,3044,J1,,1
244,245,Directed,3045,J4,,1
245,246,Directed,3046,-P71,,1
244,247,Directed,3047,J5,,1
247,248,Directed,3048,-P71,,1
236,249,Directed,3049,P14,,1
249,250,Directed,3050,P1,,1
235,251,Directed,3051,-P140,,1
251,252,Directed,3052,P14,,1
252,253,Directed,3053,P1,,1
251,254,Directed,3054,J1,,1
254,255,Directed,3055,J4,,1
255,256,Directed,3056,-P71,,1
255,271,Directed,3057,P2,,1
271,272,Directed,3058,-P71,,1
254,257,Directed,3059,J5,,1
257,258,Directed,3060,-P71,,1
235,259,Directed,3061,P4,,1
259,260,Directed,3062,P82b,,1
260,261,Directed,3063,-P71,,1
259,262,Directed,3064,P82a,,1
262,263,Directed,3065,-P71,,1
218,264,Directed,3066,-O8,,1
264,265,Directed,3067,O9,,1
265,266,Directed,3068,-P70,,1
264,267,Directed,3069,O16,,1
267,268,Directed,3070,-P71,,1
150,269,Directed,3071,P2,,1
269,270,Directed,3072,-P71,,1
